0
ELAPSED: 93.84435153007507
wrote to ../../heightmaps/mp_eroded_50000_heightmap1.png
         34583490 function calls (34518688 primitive calls) in 97.285 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1738    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
     4734    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:855(__enter__)
     1316    0.001    0.000    0.002    0.000 traits_listener.py:1001(_get_name)
     4868    0.001    0.000    0.001    0.000 {method 'get' of 'mappingproxy' objects}
      308    0.001    0.000    0.034    0.000 __init__.py:2587(from_location)
      837    0.001    0.000    0.003    0.000 pyparsing.py:663(__iadd__)
 2089/922    0.001    0.000    0.030    0.000 __init__.py:2396(yield_lines)
     1219    0.001    0.000    0.005    0.000 font_manager.py:962(_json_decode)
      764    0.001    0.000    0.001    0.000 {method 'translate' of 'str' objects}
      263    0.001    0.000    0.002    0.000 trait_types.py:1591(__init__)
  357/356    0.001    0.000    0.009    0.000 trait_converters.py:85(trait_from)
      791    0.001    0.000    0.017    0.000 traits_listener.py:408(handle_simple)
     5658    0.001    0.000    0.001    0.000 enum.py:526(__new__)
     8049    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
     3553    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     1474    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:147(__enter__)
    12247    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     8190    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      370    0.001    0.000    0.003    0.000 colors.py:197(_to_rgba_no_colorcycle)
     2524    0.001    0.000    0.002    0.000 has_traits.py:2844(base_trait)
      555    0.001    0.000    0.025    0.000 {built-in method builtins.sorted}
  236/147    0.001    0.000    0.017    0.000 group.py:344(__repr__)
     3831    0.001    0.000    0.003    0.000 abc.py:137(__instancecheck__)
     2632    0.001    0.000    0.002    0.000 traits_listener.py:995(_get_skip_ws)
   1625/7    0.001    0.000    3.433    0.490 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
       11    0.001    0.000    0.002    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      651    0.001    0.000    0.001    0.000 view_element.py:197(<listcomp>)
     1302    0.001    0.000    0.001    0.000 has_traits.py:3253(notify)
